2025-09-13 01:16:43.532 | INFO | ==================== 日志系统初始化 ====================
2025-09-13 01:16:43.783 | INFO | 模板目录: templates\exploration
2025-09-13 01:16:43.783 | INFO | 模板目录存在: False
2025-09-13 01:16:43.784 | DEBUG | 检查模板文件: templates\exploration\res_e_exploration_open.png
2025-09-13 01:16:43.784 | ERROR | 模板文件不存在: templates\exploration\res_e_exploration_open.png
2025-09-13 01:16:43.793 | DEBUG | 检查模板文件: templates\exploration\res_exploration_title.png
2025-09-13 01:16:43.793 | ERROR | 模板文件不存在: templates\exploration\res_exploration_title.png
2025-09-13 01:16:43.794 | DEBUG | 检查模板文件: templates\exploration\res_e_settings_button.png
2025-09-13 01:16:43.794 | ERROR | 模板文件不存在: templates\exploration\res_e_settings_button.png
2025-09-13 01:16:43.794 | DEBUG | 检查模板文件: templates\exploration\res_e_exploration_click.png
2025-09-13 01:16:43.794 | ERROR | 模板文件不存在: templates\exploration\res_e_exploration_click.png
2025-09-13 01:16:43.794 | DEBUG | 检查模板文件: templates\exploration\res_e_open_settings.png
2025-09-13 01:16:43.794 | ERROR | 模板文件不存在: templates\exploration\res_e_open_settings.png
2025-09-13 01:16:43.794 | DEBUG | 检查模板文件: templates\exploration\res_normal_battle_button.png
2025-09-13 01:16:43.794 | ERROR | 模板文件不存在: templates\exploration\res_normal_battle_button.png
2025-09-13 01:16:43.794 | DEBUG | 检查模板文件: templates\exploration\res_boss_battle_button.png
2025-09-13 01:16:43.794 | ERROR | 模板文件不存在: templates\exploration\res_boss_battle_button.png
2025-09-13 01:16:43.794 | DEBUG | 检查模板文件: templates\exploration\res_battle_start.png
2025-09-13 01:16:43.794 | ERROR | 模板文件不存在: templates\exploration\res_battle_start.png
2025-09-13 01:16:43.795 | DEBUG | 检查模板文件: templates\exploration\res_treasure_box_click.png
2025-09-13 01:16:43.795 | ERROR | 模板文件不存在: templates\exploration\res_treasure_box_click.png
2025-09-13 01:16:43.795 | DEBUG | 检查模板文件: templates\exploration\res_get_reward.png
2025-09-13 01:16:43.795 | ERROR | 模板文件不存在: templates\exploration\res_get_reward.png
2025-09-13 01:16:43.795 | DEBUG | 检查模板文件: templates\exploration\res_battle_reward.png
2025-09-13 01:16:43.795 | ERROR | 模板文件不存在: templates\exploration\res_battle_reward.png
2025-09-13 01:16:43.795 | DEBUG | 检查模板文件: templates\exploration\res_e_auto_rotate_on.png
2025-09-13 01:16:43.795 | ERROR | 模板文件不存在: templates\exploration\res_e_auto_rotate_on.png
2025-09-13 01:16:43.795 | DEBUG | 检查模板文件: templates\exploration\res_e_auto_rotate_off.png
2025-09-13 01:16:43.795 | ERROR | 模板文件不存在: templates\exploration\res_e_auto_rotate_off.png
2025-09-13 01:16:43.795 | DEBUG | 检查模板文件: templates\exploration\res_e_enter_choose_rarity.png
2025-09-13 01:16:43.795 | ERROR | 模板文件不存在: templates\exploration\res_e_enter_choose_rarity.png
2025-09-13 01:16:43.795 | DEBUG | 检查模板文件: templates\exploration\res_e_n_rarity.png
2025-09-13 01:16:43.795 | ERROR | 模板文件不存在: templates\exploration\res_e_n_rarity.png
2025-09-13 01:16:43.796 | DEBUG | 检查模板文件: templates\exploration\res_e_s_rarity.png
2025-09-13 01:16:43.796 | ERROR | 模板文件不存在: templates\exploration\res_e_s_rarity.png
